Producto,Nombre,Descripcion,medidas,material,empaque,Impresion,Colores,precio_unitario,precio_mayorista,precio_cliente,precio_promocion7,precio_cliente_mayorista
PAI10-4OSV2,Placa En Aluminio Impreso,Placa de aluminio impreso blanco en dos piezas con poste de aluminio 22x28 cm,22 X 28 cm,Aluminio,1,Serigrafia,Multicolor,$550.00,$550.00,$660.00,$660.00,$660.00
PAI100DV,Placa En Aluminio Impreso,Placa de aluminio impresa tipo curvo vertical don 8 broches en base mdf 34 X 26.5 CM,34x26.5 cm,Aluminio,1,Serigrafia,Dorado,$650.00,$650.00,$780.00,$780.00,$780.00
PAI12-41,Placa En Aluminio Impreso,Placa de aluminio Impreso blanco con corte tipo Calado 17 DIAMETRO CM,17 cm diam.,Aluminio,1,Serigrafia,Multicolor,$650.00,$650.00,$780.00,$780.00,$780.00
PAI212-4OSV2,Placa En Aluminio Impreso,Placa de aluminio impreso media carta con contorno Maria Luisa plateada brillante y base en mdf 20 X 26 CM,20x26 cm,Aluminio,1,Serigrafia,Multicolor,$650.00,$650.00,$780.00,$780.00,$780.00
PAG510DV,Placa Grabada En Láser,"Placa de aluminio grabado en láser con conotrno Maria Luisa, moneda incrustada y cristal con cuatro chapetones. 20 X 25 CM",20x25 cm,Aluminio,1,Grabado laser,Negro,$650.00,$650.00,$780.00,$780.00,$780.00
PAG840PH,Placa Grabada En Láser,Placa de aluminio Grabada en Láser color negro a plata con 4 esquineros y contorno Maria Luisa plata en una base de cristal de 9mm de grosor. 57 X 40  CM,57x40 cm,Aluminio,1,Grabado laser,Negro,"$3,500.00","$3,500.00","$4,200.00","$4,200.00","$4,200.00"
PAC-81144/4,Placa De Cristal,Reconocimiento en cristal grabado tipo by placa de aluminio en base de MDF color vino 35 X 29 CM,35x29 cm,Cristal,1,Grabado laser,Plateado,,,$0.00,$0.00,$0.00
PAC-73134,Placa De Cristal,"Reconocimiento en cristal tipo Reflecta con canto biselado, en base de mdf acabado mate plata. 27 X 34 CM",27x34 cm,Cristal reflecta,1,Grabado,Plateado,$700.00,$700.00,$840.00,$840.00,$840.00
PAC-63144,Placa De Cristal,Reconcoimiento en cristal reflecta con canto biselado en base de MDF color vino 34 X 26.5 CM,34x26.5,Cristal reflecta,1,Grabado,Plateado,$700.00,$700.00,$840.00,$840.00,$840.00
PAD500PV,Placa Grabada En Diamante,"Placa grabada en punta diamante en aluminio (plata, dorado, blanco y negro), con doble contorno tipo Maria Luisaen medio de 2 cristales tipo sandwich 31.5 X 37  CM",31.5x37 cm,Aluminio,1,Grabado punta diamante,Negro,"$1,000.00","$1,000.00","$1,200.00","$1,200.00","$1,200.00"
PAD303PV,Placa Grabada En Diamante,Placa de aluminio grabada en punta diamante corte diagonal con logotipo resaltado 26.5 X 34 CM,26.5x34 cm,Aluminio,1,Grabado punta diamante,Dorado,$700.00,$700.00,$840.00,$840.00,$840.00
PAD400PH,Placa Grabada En Diamante,"Placa grabada en punta diamante en aluminio (plata, dorado, blanco y negro), con contorno tipo Maria Luisa doble negra y plata en base de MDF 31 X 23 CM",31x23 cm,Aluminio,1,Grabado punta diamante,Multicolor,$700.00,$700.00,$840.00,$840.00,$840.00
